"CD74"
"FXYD5"
"RPL28"
"ARHGDIA"
"CAPNS1"
"CD3E"
"PFN1"
"TGFB1"
"TRAC"
"CFL1"
"RPL18"
"ACTB"
"PPP1CA"
"TRIM28"
"KLF2"
"ENO1"
"TLE5"
"CD7"
"CST3"
"CTSD"
"GSTP1"
"SH3BGRL3"
"PPP2R1A"
"CD81"
"JUND"
"LSP1"
"SF3A2"
"RPS28"
"H1-10"
"VPS51"
"PLD3"
"UCP2"
"SNRPB"
"EMP3"
"RNH1"
"UQCRC1"
"RPLP2"
"GPI"
"SART1"
"PKN1"
"PRKCSH"
"EEF2"
"ANXA6"
"CALR"
"SLC25A6"
"SLC9A3R1"
"SEPTIN9"
"CD4"
"SQSTM1"
"ACTG1"
"SF3B2"
"HSP90AB1"
"ATP5F1D"
"RBM42"
"CDK2AP2"
"HCST"
"HMGA1"
"ORAI1"
"TECR"
"APRT"
"HLA-DRB1"
"GRN"
"ADRM1"
"BTBD2"
"MDH2"
"TRAPPC1"
"EPN1"
"PRPF19"
"PTPA"
"PUF60"
"SF3B4"
"IDH3G"
"CYBA"
"RAB1B"
"ATP5MC2"
"POLR2E"
"PRPF6"
"PKM"
"EIF3G"
"RALY"
"APOBEC3C"
"NOP53"
"XRCC6"
"RNPEPL1"
"CAPN1"
"RAC2"
"EHD1"
"SND1"
"SPOCK2"
"CSK"
"SCAMP2"
"EIF5A"
"TUFM"
"AP1M1"
"GNAI2"
"MAP7D1"
"SNX17"
"CAPZB"
"P4HB"
"LAMP1"
"MAZ"
"TUBB"
"CD79A"
"LY6E"
"SLC25A1"
"CD27"
"ABI3"
"PRF1"
"IL32"
"FARSA"
"C9orf16"
"ECH1"
"CUTA"
"MAP1S"
"MBD3"
"FAM110A"
"RHOG"
"CDIP1"
"MARCKSL1"
"VAT1"
"SH3BP1"
"CD14"
"HIGD2A"
"ABHD14B"
"DDX54"
"FIBP"
"SMARCB1"
"RHOF"
"TMEM109"
"ATP6V0D1"
"BCAP31"
"IDH2"
"RPS15"
"BIN1"
"CENPB"
"SCAF1"
"CD99"
"NUCB1"
"NUDC"
"AIP"
"TRBC1"
"SHISA5"
"STIP1"
"PSMC4"
"HLA-A"
"SELPLG"
"GAPDH"
"G6PD"
"CNN2"
"HM13"
"TWF2"
"RANGAP1"
"ANXA11"
"PPM1G"
"DOK2"
"RAB11B"
"NELFB"
"IL2RG"
"MCM5"
"GPS1"
"ALKBH5"
"SYNGR2"
"EMC10"
"GTF2F1"
"CLSTN1"
"TAPBP"
"AP1B1"
"RPS2"
"EIF3B"
"RACK1"
"CD37"
"ERGIC3"
"ACTN4"
"SARS1"
"ESYT1"
"SF3A1"
"SUN2"
"HNRNPUL1"
"IGKC"
"IGHM"
"FAM174C"
"SRM"
"IRF2BP1"
"ALDOC"
"CPTP"
"NKG7"
"CTSW"
"DBP"
"TIMP1"
"BOP1"
"NDUFB11"
"INTS5"
"RUVBL2"
"NDUFS8"
"UBL7"
"ALYREF"
"TBL3"
"POLD2"
"CLPP"
"HMOX1"
"ECHS1"
"TMUB1"
"ALDOA"
"SPI1"
"ZNF865"
"MED16"
"PEPD"
"SHMT2"
"KDELR1"
"ZNF385A"
"CNP"
"TP53"
"CYB5R3"
"ASMTL"
"SGTA"
"STUB1"
"COMT"
"VPS18"
"C11orf68"
"COPE"
"WAS"
"SCAMP3"
"KIAA2013"
"MAP2K2"
"TNFSF12"
"CD5"
"PAF1"
"TMEM115"
"USP11"
"VARS1"
"USP5"
"EDF1"
"ATP13A2"
"LTB"
"ICAM2"
"FAM234A"
"SPRYD3"
"RIN3"
"RPL18A"
"ACO2"
"PTPN6"
"SLC3A2"
"SLC35A4"
"ITGB2"
"CTSA"
"TMEM250"
"PSMD3"
"GIT1"
"CLPTM1"
"AAMP"
"CTDNEP1"
"PDIA4"
"AP2M1"
"ATP6AP1"
