"CD74"
"FXYD5"
"RPL28"
"ARHGDIA"
"CAPNS1"
"CD3E"
"PFN1"
"TGFB1"
"TRAC"
"CFL1"
"RPL18"
"ACTB"
"PPP1CA"
"TRIM28"
"KLF2"
"ENO1"
"TLE5"
"CD7"
"CST3"
"CTSD"
"GSTP1"
"SH3BGRL3"
"PPP2R1A"
"CD81"
"JUND"
"LSP1"
"SF3A2"
"RPS28"
"H1-10"
"VPS51"
"PLD3"
"UCP2"
"SNRPB"
"EMP3"
"RNH1"
"UQCRC1"
"RPLP2"
"GPI"
"SART1"
"PKN1"
"PRKCSH"
"EEF2"
"ANXA6"
"CALR"
"SLC25A6"
"SLC9A3R1"
"SEPTIN9"
"CD4"
"SQSTM1"
"ACTG1"
