"ARGLU1"
"SRSF11"
"NKTR"
"ATM"
"OGT"
"PRPF4B"
"BIRC3"
"BTAF1"
"ZRANB2"
"TTC14"
"CLK1"
"TC2N"
"KTN1"
"PRKACB"
"TIA1"
"DMTF1"
"GSAP"
"EBLN3P"
"EIF3E"
"BRWD1"
"PNISR"
"ADD3"
"ITGA4"
"MATR3"
"SLC38A1"
"ZFC3H1"
"LUC7L3"
"AHSA2P"
"EIF4A2"
"ZNF83"
"LPAR6"
"GOLGA8A"
"RORA"
"CREBZF"
"IL6ST"
"TBC1D4"
"ANKRD12"
"ZBTB1"
"KLF12"
"TMEM181"
"MBNL1"
"ZBED5"
"USP16"
"LSM8"
"TRPM7"
"CRBN"
"GOLGA4"
"ARAP2"
"RELCH"
"PARP15"
"ORMDL1"
"ELK4"
"SRSF10"
"VPS13C"
"SACM1L"
"U2SURP"
"SMG1"
"MON2"
"BCLAF1"
"DNAJC10"
"XPO1"
"SRSF7"
"EML4"
"SLFN5"
"HNRNPH1"
"FNBP4"
"CLEC2D"
"GOLGA8B"
"AL390728.4"
"VPS13A"
"ZNF292"
"MYSM1"
"TMX3"
"AL365361.1"
"CCNT2"
"PHIP"
"PAXBP1"
"CLK4"
"ZBTB11"
"GOPC"
"GPR174"
"AKAP11"
"PRKAB2"
"SNHG14"
"ANKIB1"
"UHMK1"
"CEP57"
"SMC4"
"IBTK"
"ZNF37BP"
"SREK1"
"PPWD1"
"RIF1"
"RECQL"
"RNF19A"
"INTS6L"
"TASOR2"
"UFM1"
"THUMPD1"
"FTX"
"GVINP1"
"TRIM52"
"UBA6"
"TTC37"
"ZMYM2"
"VPS36"
"YTHDC2"
"TAF1D"
"NEMF"
"DEK"
"KIAA1109"
"THAP12"
"GIMAP5"
"FAM122B"
"ATRX"
"PCMTD2"
"ZNF146"
"CAPRIN2"
"UBE3A"
"PHC3"
"EPM2AIP1"
"MGAT4A"
"GLS"
"STT3B"
"SF3B1"
"UBXN4"
"DENND11"
"RBM25"
"RAP1B"
"UHRF2"
"TPP2"
"AKAP9"
"UBP1"
"N4BP2L2"
"PRPF38B"
"USO1"
"TASOR"
"RANBP2"
"HNRNPDL"
"DDX5"
"ZMAT1"
"ABCA5"
"BDP1"
"MYBL1"
"ZNF302"
"RANBP6"
"PRPF39"
"CASP8AP2"
"PHTF2"
"CEP85L"
"CCDC14"
"PTAR1"
"TRAT1"
"ZNF644"
"ZNF518A"
"ANKRD49"
"SENP7"
"POLI"
"DNAJB14"
"UFL1"
"PIK3C2A"
"ATP8A1"
"SMARCAD1"
"CHD9"
"CCDC66"
"WASHC4"
"KRR1"
"MS4A1"
"SLC25A36"
"ZNF600"
"LANCL1"
"CCNC"
"SUCO"
"SMC6"
"RFX7"
"ODF2L"
"TMEM168"
"SH2D1A"
"ZNF558"
"NR1D2"
"AC118549.1"
"INPP4B"
"ALG13"
"ZC3H15"
"PIKFYVE"
"THAP9-AS1"
"CEP120"
"RABGGTB"
"FAM214A"
"ARFGEF2"
"CEBPZ"
"ZNF700"
"ROCK1"
"OTUD4"
"ABCE1"
"MAN2A1"
"GCC2"
"USP1"
"DMXL2"
"NOP58"
"TMEM161B-AS1"
"ZNF12"
"CHD1"
"ICE2"
"CAMK4"
"ZMYND11"
"C2CD5"
"NAA15"
"WDR75"
"SSB"
"ZNF451"
"MIS18BP1"
"ATR"
"CLDND1"
"ANAPC4"
"CBX3"
"RASGRP1"
"WWP1"
"GIMAP7"
"GPRIN3"
"DDHD1"
"SENP6"
"TARBP1"
"PNRC2"
"CEP350"
"IPO7"
"ERBIN"
"ANKRD44"
"FYTTD1"
"DIS3"
"FBXO3"
"AIMP1"
"IL7R"
"MTREX"
"FAM13B"
"CGGBP1"
"NOL8"
"EFR3A"
"DYRK2"
"ZNF224"
"RBM39"
"RABEP1"
"UTRN"
"USP47"
