"ALAS2"
"SLC4A1"
"FAM210B"
"BCL2L1"
"YBX3"
"DCAF12"
"UBB"
"ADIPOR1"
"FBXO7"
"GYPC"
"GPX1"
"BAG1"
"RBM38"
"GUK1"
"UBA52"
"RNF10"
"SLC25A37"
"ASCC2"
"ATP5F1E"
"MKRN1"
"MPP1"
"HBG2"
"HBD"
"TENT5C"
"SNCA"
"TNS1"
"STRADB"
"SLC25A39"
"DMTN"
"C9orf78"
"MXI1"
"GSPT1"
"FKBP8"
"LGALS3"
"BNIP3L"
"BLVRB"
"PCGF5"
"MARCHF8"
"UBXN6"
"CDC34"
"EMC3"
"HAGH"
"OPTN"
"PRDX6"
"EIF2AK1"
"SERF2"
"HDGF"
"PSMF1"
"OAZ1"
"FTL"
"RPS12"
"GNAS"
"BTF3"
"AHSP"
"KRT1"
"BPGM"
"OSBP2"
"SELENBP1"
"GMPR"
"MYL4"
"RUNDC3A"
"TRIM58"
"GLRX5"
"HBM"
"SIAH2"
"TSTA3"
"SLC38A5"
"TPGS2"
"MBNL3"
"NPRL3"
"STMP1"
"DPM2"
"FAM104A"
"RGS10"
"TESC"
"FIS1"
"PRDX2"
"TFDP1"
"MT-RNR1"
"MT-RNR2"
"ELOB"
"BSG"
"MARCHF2"
"OST4"
"FOXO4"
"PRDX5"
"PHOSPHO1"
"HPS1"
"PIP4K2A"
"R3HDM4"
"MYL6"
"YBX1"
"FAM117A"
"COX6B1"
"RPL12"
"PIM1"
"RPS11"
"EPB41"
"CA1"
"TMCC2"
"EPB42"
"FECH"
"ANK1"
"SLC6A8"
"GPR146"
"TSPAN5"
"AC092490.1"
"AC130456.3"
"FAXDC2"
"RN7SL1"
"PDZK1IP1"
"FUNDC2"
"PPBP"
"RIOK3"
"ANKH"
"POLR1D"
"RANBP10"
"JAZF1"
"SLC1A5"
"POLL"
"PNP"
"RPL21"
"LYL1"
"SHARPIN"
"FBXO9"
"FOXO3"
"RAD23A"
"VTI1B"
"MAF1"
"PFDN5"
"PINK1"
"PPM1A"
"CNPPD1"
"PA2G4"
"RPL41"
"RNF187"
"STOM"
"DNAJB2"
"ZER1"
"MICAL2"
"RNF123"
"ST13"
"BAG6"
"GABARAPL2"
"MARK3"
"RPL32"
"CCNI"
"IFI27"
"SPTB"
"IGF2BP2"
"TMOD1"
"HBQ1"
"TAL1"
"NFIX"
"ARHGEF12"
"SMOX"
"AC100810.1"
"ST6GALNAC4"
"GATA1"
"SRRD"
"RILP"
"E2F2"
"TRAK2"
"CLU"
"UQCR11"
"PITHD1"
"CARM1"
"ELOF1"
"SPARC"
"SESN3"
"BABAM1"
"TMEM63B"
"DCAF6"
"CREG1"
"MZT2B"
"UBE2O"
"SEC62"
"GNA12"
"MT-ND1"
"GRINA"
"MT-CO2"
"MT-CO3"
"MAP2K3"
"GDE1"
"YY1AP1"
"GUCD1"
"MT-ATP6"
"WDR45"
"MT-ND3"
"MT-CYB"
"DYNLL1"
"TANGO2"
"RPL27A"
"EIF1"
"GTF3A"
"RPSA"
"SKP1"
"IFIT1B"
"KLF1"
"OR2W3"
"HEMGN"
"SLC14A1"
"YOD1"
"KDM7A-DT"
"HMBS"
"CHPT1"
"USP12"
"NTAN1"
"PTMS"
"RAB2B"
"RNF11"
"RPIA"
"ITGA2B"
"PF4"
"NME4"
"PIGC"
"ECSIT"
"TBC1D22B"
"PPDPF"
"UBE2F"
"RGCC"
"RBX1"
"SLC2A1"
"ACRBP"
"AKT1S1"
"SNX3"
"COPS3"
"ODC1"
"CCL5"
"ACP1"
"RPL35A"
"GSTO1"
"ZMAT2"
"GPX4"
"AIF1"
"RPL11"
"UROD"
"JTB"
"MT-ATP8"
"RPL30"
"MT-ND4"
"MT-ND2"
"RPL36AL"
"RPS14"
"BRK1"
"FAU"
"RETREG2"
"AP2M1"
"RPL38"
"TMSB10"
"ANP32B"
"RPL13A"
"RPL4"
"RNY1"
"AC104389.6"
"XK"
"MFSD2B"
"SMIM5"
"ANKRD9"
"BBOF1"
"CISD2"
"NEDD4L"
"C2orf88"
"VWCE"
"TREML1"
"SLC7A5"
"ISCA1"
"GID4"
"SELENOK"
"ZDHHC2"
"NUDT4"
"MPIG6B"
"SVBP"
"FGFR1OP2"
"ENDOD1"
"TPM1"
"MT-ND6"
"GZMA"
"H2AJ"
"AP2S1"
"RPS27"
"UBL5"
"ROGDI"
"KAT2B"
"MTATP6P1"
"PPP2R5B"
"NRGN"
"UBL7"
"SLC66A2"
"RPL35"
"MCOLN1"
"CD52"
"TPT1"
"EIF1B"
"NDUFA2"
"CD3D"
"ATP5MF"
"S100A9"
"RPL24"
"CARHSP1"
"FTH1"
"CDKN2D"
"PSME4"
"SLC25A38"
"VAMP8"
"NAPA"
"FCER1G"
"TNIP1"
"UFC1"
"SOD1"
"HK1"
"RPL37"
"RPL23A"
"RPS9"
"CCNDBP1"
"RPLP0"
"PSMD4"
"RUFY1"
"TMSB4X"
"ISCU"
"GYPB"
"RAP1GAP"
"LINC00570"
"ABCC13"
"AL139220.2"
"DPCD"
"KEL"
"TUBB2A"
"TRIM10"
"KANK2"
"PLEK2"
"KLC3"
"SMIM1"
"PBX1"
"SMIM24"
"PLVAP"
"TGM2"
"NT5M"
"MRC2"
"ARL4A"
"TMEM40"
"MYL9"
"CA2"
"TMEM86B"
"AP001324.1"
"ALDH5A1"
"LINC02352"
"H1-2"
"GFI1B"
"RPS10"
"NINJ2"
"HSPB1"
"DNAJA4"
"BLOC1S1"
"SNRPD2"
"RPL27"
"MTURN"
"NFE2"
"RPS20"
"PSMB7"
"STOML2"
"UQCR10"
"RPS15"
"TTC1"
"DNAJC4"
"S100A6"
"UXT"
"RPL6"
"SNHG29"
"MT-CO1"
"UBC"
"CTSB"
"RPS8"
"RPL36"
"ATP6V0E1"
"CIZ1"
"RPS5"
"XPO7"
"PARK7"
"RPLP1"
"RPS13"
"PPIA"
"RPL37A"
"RPL14"
"RPL29"
"GRAP2"
"COPZ1"
"UBE2H"
"EEF1D"
"SSR2"
"ITLN1"
"BCAM"
"SLC6A9"
"TMEM158"
"AC100835.2"
"FKBP1B"
"AC022167.3"
"SPTA1"
"RGS6"
"AC123912.4"
"CNIH3"
"MT-TW"
"SHISA4"
"PRR34-AS1"
"MT-TM"
"KCNH2"
"TFR2"
"FAM104B"
"CAPN5"
"LRRC75A"
"SHLD1"
"BEX3"
"CLC"
"DCAF10"
"IFI27L2"
"SLC48A1"
"REXO2"
"S100A8"
"NENF"
"NSUN3"
"POLE4"
"THOC7"
"CCDC124"
"MMP24OS"
"LGALS1"
"BLVRA"
"COX6A1"
"MRPS21"
"SMDT1"
"RPS25"
"C19orf53"
"SH3BGRL3"
"RNF181"
"S100A4"
"SNF8"
"UBAC1"
"RPS6"
"LST1"
"SSR4"
"ZRANB1"
"ATP5PD"
"B4GALT3"
"MOB2"
"SRSF8"
"NCOA4"
"ZNHIT1"
"DAD1"
"SH3GLB2"
"COX4I1"
"CHCHD2"
"PCED1B-AS1"
"CLIC1"
"FAM214B"
"WNK1"
"RPL10"
"NACA"
"RPS4X"
"GSTK1"
"PCBP2"
"SOX6"
"ACKR1"
"CR1L"
"TTC25"
"C1orf116"
"AQP1"
"FRMD4A"
"RAB3IL1"
"RIPOR3"
"CTNNAL1"
"RMRP"
"SLFN14"
"RPL21P16"
"YPEL4"
"CDKL1"
"H2BC11"
"CMTM5"
"GP9"
"H3C10"
"AC024293.1"
"GNG11"
"LTBP2"
"CTDSPL"
"CETN2"
"NDUFA4"
"TRIM52-AS1"
"RPL26"
"FAH"
"SELP"
"FAHD1"
"NUDT1"
"DCUN1D1"
"GZMH"
"CYTOR"
"AK1"
"GADD45GIP1"
"S100A12"
"ATP5ME"
"RPS15A"
"NDUFS5"
"COA8"
"NDUFA6"
"VAMP5"
"COX7A2"
"COX7C"
"STX8"
"CYSTM1"
"RPS21"
"NAA38"
"TUBB1"
"PCTP"
"B4GALT7"
"TIMM23"
"NDUFB7"
"RFXANK"
"MPC2"
"MRPS15"
"TBC1D25"
"RPS27A"
"COX5B"
"MEA1"
"PPME1"
"FAM20B"
"GET3"
"GMFG"
"TUBB4B"
"UROS"
"RPLP2"
"MT-ND5"
"EDF1"
"PSME2"
"RPL18A"
"RPS19"
"INPP5K"
"SERPINB6"
"VPS25"
"METTL9"
"SURF1"
"RPL13"
"FAM50A"
"PRELID1"
"MXD4"
"ATRAID"
"TRIR"
"ZDHHC3"
"HAX1"
"ENSA"
"RPS3"
"DCAF11"
"TRAPPC3"
"NAP1L4"
"AP2B1"
"LINC02772"
"AC093484.3"
"RNU4-2"
"CCR5AS"
"GPX1P1"
"EMID1"
"LINC00853"
"TMPRSS9"
"AC011498.6"
"FHL2"
"PTPRF"
"AC090409.1"
"ESPN"
"H2AW"
"Z82206.1"
"FTLP3"
"MT-TL1"
"ABLIM3"
"PTTG1"
"PTCRA"
"SLPI"
"ESAM"
"ITGB5"
"TBCEL"
"ZSCAN16-AS1"
"ITGB3"
"ABCC4"
"CCRL2"
"RPS26"
"CARD16"
"MRPL40"
"ATP5PO"
"CRAT"
"TXN"
"COPS9"
"HEBP1"
"NDUFB2"
"RPL7"
"ENTPD5"
"GBGT1"
"CDKN1A"
"NDUFA3"
"PRR5"
"UQCRH"
"MRPL51"
"SCO2"
"MRPL21"
"IFT52"
"CHID1"
"MZT2A"
"AC022400.8"
"RPS29"
"CHCHD1"
"C12orf10"
"PLAAT4"
"MRPL24"
"ANXA1"
"MIEN1"
"NDUFB8"
"TIMM17B"
"NDUFB9"
"RPS18"
"CYB5R3"
"NDUFS3"
"YPEL3"
"SF3B5"
"SPECC1"
"NEDD8"
"TXNL4A"
"TMEM258"
"TMEM183A"
"LSM10"
"STK16"
"BUD31"
"VPS28"
"EIF3K"
"FBXW4"
"RSU1"
"SPSB3"
"SELENOW"
"STK11"
"ZFAND2B"
"KARS1"
"PSMA5"
"IGBP1"
"RPL19"
"ATP5F1B"
"MAP1LC3B"
"RPL15"
"RPL3"
"WASF2"
"AC006205.2"
"SFRP2"
"IGKV1-9"
"OTOF"
"RAB6B"
"HGD"
"STON2"
"MARCHF3"
"RPL13AP25"
"CLIC2"
"MTCO1P12"
"AP000787.1"
"TMSB4XP8"
"RNASE2"
"CTTN"
"MRPL22"
"PIP5K1B"
"PI3"
"ZNF653"
"NUDT2"
"LHPP"
"RPL31"
"PET100"
"PTRHD1"
"RPS24"
"SNHG5"
"NUTM2A-AS1"
"DYNLRB1"
"HINT1"
"FRG1"
"UBALD1"
"POLR2J"
"PFDN6"
"MRPL11"
"YIPF2"
"GTF3C6"
"C12orf57"
"ANAPC15"
"UBALD2"
"ATP6V1F"
"ZNF346"
"DRG1"
"NDUFB10"
"PSMB6"
"PPOX"
"IFITM1"
"MIIP"
"NELFE"
"NAA10"
"TYROBP"
"UCP2"
"EMP3"
"TBCB"
"ORMDL3"
"CHMP4B"
"WBP2"
"TSPAN17"
"BCL2L13"
"EIF3I"
"AKR1A1"
"COPS6"
"UBAP1"
"HLA-DRA"
"TSG101"
"ZNF394"
"RPS16"
"DESI1"
"ST3GAL1"
"RPL10A"
"PCSK1N"
"GCAT"
"NRIR"
"H2AC8"
"PCYT1B"
"FLACC1"
"AC147651.1"
"RAB13"
"EGFL7"
"RTCA-AS1"
"RPS11P5"
"SNHG22"
"LCN2"
"AP001189.1"
"MOSPD1"
"E2F1"
"ALOX12"
"TMEM256"
"GNAZ"
"SH3BGRL2"
"COX7B"
"FOLR3"
"MISP3"
"AC048382.6"
"C1orf198"
"CCDC167"
"UQCRQ"
"TP53TG1"
"IFI6"
"ATP5MPL"
"MRPL48"
"RPL34"
"ZNF271P"
"RPS3A"
"TSPAN33"
"ACP5"
"AGBL5"
"COX14"
"RPL23"
"NDUFA1"
"MRPL14"
"TOMM7"
"C1orf122"
"MRPL54"
"COA3"
"PDLIM1"
"EBP"
"NDUFAF3"
"MICOS13"
"CD151"
"CMTM2"
"ZNF428"
"RSRC1"
"MRPL58"
"PRDX4"
"LAMTOR2"
"NANS"
"NDUFA8"
"ATP5MC1"
"CLTB"
"NDUFA12"
"PTGS1"
"RNF5"
"UBE2M"
"ERAL1"
"S100A10"
"NOP10"
"SCNM1"
"SQOR"
"PSMC3"
"MRPL52"
"RFNG"
"NUTF2"
"SKAP1"
"PSME1"
"TRBC2"
"CINP"
"SSNA1"
"PSMB1"
"DAP"
"ARHGDIB"
"PRDX1"
"TXNL1"
"RPL8"
"MYL12B"
"LAMTOR1"
"MRPL20"
"TPST2"
"TMEM9B"
"FBL"
"PLEKHO1"
"TRAPPC4"
"HECTD3"
"ILF2"
"RPL7A"
"EIF3H"
"SNORA73B"
"SNORD3A"
"MT-TI"
"RNU4-62P"
"SNHG25"
"NAT8B"
"PF4V1"
"TGFB1I1"
"H2BC8"
"SPOCD1"
"AC005912.1"
"KANSL1-AS1"
"GTSF1"
"AQP10"
"EIF1AY"
"SEPSECS-AS1"
"AC034236.1"
"PCSK6"
"BATF3"
"MKLN1-AS"
"FRMD3"
"NFIA"
"NME1"
"APOO"
"MTND2P28"
"ELOA-AS1"
"AC027644.3"
"VSTM1"
"YBEY"
"FCGR1A"
"CDKN2C"
"S100P"
"RPL39"
"CSTA"
"MAP3K7CL"
"MT2A"
"C21orf58"
"CYB5A"
"RPL13AP5"
"RPL9"
"TM7SF2"
"MRPL36"
"GNGT2"
"ROMO1"
"ST7"
"MRPL23"
"TCP11L2"
"ATP5PF"
"RHOC"
